"Remote Data: Wavelength (nm)","Remote Data: Intensity (rel)"
567.3,0.793621728847
567.9,0.77578393225
568.6,0.777981231403
569.3,0.768032349126
570,0.771984435798
570.6,0.755367360952
571.3,0.775921263447
572,0.783443961242
572.6,0.795162890059
573.3,0.768749523156
574,0.774761577783
574.7,0.763744563973
575.3,0.769375143053
576,0.758266575113
576.7,0.767055771725
577.3,0.744670786603
578,0.763378347448
578.7,0.76693369955
579.4,0.785015640497
580,0.788128480964
580.7,0.795315480278
581.4,0.794522011139
582,0.810223544671
582.7,0.800411993591
583.4,0.817090104524
584,0.811978332189
584.7,0.795620660716
585.4,0.779583428702
586.1,0.79380483711
586.7,0.799023422599
587.4,0.789745937285
588.1,0.734660868238
588.7,0.687861448081
589.4,0.702952620737
590.1,0.767101548791
590.7,0.799786373693
591.4,0.775631342031
592.1,0.780758373388
592.7,0.793209735256
593.4,0.795223926146
594,0.777706569009
594.7,0.782909895476
595.4,0.798840314336
596,0.811490043488
596.7,0.803891050584
597.4,0.814068818189
598,0.805249103532
598.7,0.821591515984
599.3,0.827344167239
600,0.820157167926
600.7,0.835339894713
601.3,0.81593041886
602,0.82276646067
602.7,0.844846265354
603.3,0.85406271458
604,0.856778820478
604.6,0.867963683528
605.3,0.855680170901
606,0.876020447089
606.6,0.865735866331
607.3,0.877607385367
608,0.857007705806
608.6,0.862745098039
609.3,0.868833447776
609.9,0.860914015412
610.6,0.871335927367
611.3,0.86315709163
611.9,0.849942778668
612.6,0.862638284886
613.3,0.854886701762
613.9,0.851575494011
614.6,0.859205004959
615.2,0.860349431601
615.9,0.844876783398
616.6,0.839841306172
617.2,0.853238727398
617.9,0.870450904097
618.6,0.861402304112
619.2,0.865339131762
619.9,0.857755397879
620.5,0.868619821469
621.2,0.851316090639
621.9,0.833051041428
622.5,0.834042877852
623.2,0.81536583505
623.9,0.830243381399
624.5,0.816708628977
625.2,0.815793087663
625.8,0.791332875563
626.5,0.795910582132
627.2,0.773632410163
627.8,0.74746318761
628.5,0.775371938659
629.2,0.76452277409
629.8,0.771221484703
630.5,0.785992217899
631.1,0.77039749752
631.8,0.752819104295
632.5,0.779934386206
633.1,0.785671778439
633.8,0.784771496147
634.4,0.789089799344
635.1,0.801266498817
635.8,0.799633783474
636.4,0.792385748074
637.1,0.812664988174
637.8,0.814419775692
638.4,0.800457770657
639.1,0.782726787213
639.7,0.790814068818
640.4,0.778713664454
641.1,0.774685282673
641.7,0.787991149767
642.4,0.779430838483
643,0.791485465782
643.7,0.775402456703
644.3,0.779674982834
645,0.770443274586
645.6,0.773571374075
646.3,0.749675745785
646.9,0.745891508354
647.6,0.715938048371
648.2,0.731731136034
648.9,0.718074311437
649.5,0.716838330663
650.2,0.73789578088
650.8,0.73708705272
651.5,0.728297856107
652.1,0.729701686122
652.8,0.736781872282
653.4,0.721065079728
654.1,0.706782635233
654.7,0.694438086519
655.4,0.665461203937
656,0.597650110628
656.7,0.638788433661
657.3,0.69654383154
658,0.706981002518
658.6,0.701838712139
659.3,0.718455786984
659.9,0.718974593729
660.6,0.717784390021
661.2,0.716350041962
661.9,0.725917448692
662.5,0.728435187304
